15,1030,740,243,193,176,170,190,190
14,1000,720,235,188,150,145,170,174
13,960,680,225,180,135,128,148,155
12,880,620,220,175,120,115,123,125
11,800,580,210,164,100,96,85,92
10,740,560,205,160,85,80,53,61
9,700,550,200,155,62,56,10,20
8,650,530,195,152,60,54,6,17
7,530,490,193,149,55,50,2,9
6,500,460,191,147,52,46,-4,7
5,460,430,187,144,48,44,-15,-1
4,420,400,183,141,40,35,-22,-10
3,370,360,178,137,35,31,-25,-15
2,340,320,173,133,30,26,-38,-24
1,320,300,170,130,25,20,-44,-30
